Cases_Black_race,Cases_Other_race,Cases_Unknown_race,Cases_White_race,Deaths_Black_race,Deaths_Other_race,Deaths_Unknown_race,Deaths_White_race,LDHH,Parish,Scrape Time
31,72,42,75,,,,,7,Sabine,2020-07-15 21:40:53.561509
277,71,70,303,,,,,1,St. Bernard,2020-07-15 21:40:53.561509
345,33,85,426,22,0,0,27,3,St. Charles,2020-07-15 21:40:53.561509
89,10,20,22,,,,,9,St. Helena,2020-07-15 21:40:53.561509
274,25,51,105,23,0,0,7,3,St. James,2020-07-15 21:40:53.561509
721,47,84,242,49,0,0,39,3,St. John the Baptist,2020-07-15 21:40:53.561509
431,110,204,384,13,0,0,47,4,St. Landry,2020-07-15 21:40:53.561509
383,235,89,363,8,0,0,21,4,St. Martin,2020-07-15 21:40:53.561509
307,71,222,208,21,1,0,17,3,St. Mary,2020-07-15 21:40:53.561509
632,213,326,2073,28,1,0,158,9,St. Tammany,2020-07-15 21:40:53.561509
722,196,153,831,19,0,0,26,9,Tangipahoa,2020-07-15 21:40:53.561509
21,2,8,3,,,,,8,Tensas,2020-07-15 21:40:53.561509
552,144,239,770,25,3,0,39,3,Terrebonne,2020-07-15 21:40:53.561509
235,62,60,119,10,0,0,18,8,Union,2020-07-15 21:40:53.561509
133,67,136,234,,,,,4,Vermilion,2020-07-15 21:40:53.561509
41,27,111,113,,,,,6,Vernon,2020-07-15 21:40:53.561509
298,117,125,314,22,0,0,29,9,Washington,2020-07-15 21:40:53.561509
231,81,71,156,,,,,7,Webster,2020-07-15 21:40:53.561509
189,33,51,122,21,0,0,11,2,West Baton Rouge,2020-07-15 21:40:53.561509
60,37,26,48,,,,,8,West Carroll,2020-07-15 21:40:53.561509
148,20,30,76,,,,,2,West Feliciana,2020-07-15 21:40:53.561509
75,66,109,41,,,,,6,Winn,2020-07-15 21:40:53.561509
404,205,365,430,9,0,0,37,4,Acadia,2020-07-16 20:15:32.989815
63,55,235,130,,,,,5,Allen,2020-07-16 20:15:32.989815
663,154,225,577,36,0,1,27,2,Ascension,2020-07-16 20:15:32.989815
285,15,32,98,,,,,3,Assumption,2020-07-16 20:15:32.989815
168,64,89,165,,,,,6,Avoyelles,2020-07-16 20:15:32.989815
44,29,166,125,,,,,5,Beauregard,2020-07-16 20:15:32.989815
124,47,36,61,14,0,0,14,7,Bienville,2020-07-16 20:15:32.989815
519,116,141,548,17,0,0,22,7,Bossier,2020-07-16 20:15:32.989815
2657,337,509,910,170,1,0,78,7,Caddo,2020-07-16 20:15:32.989815
955,265,696,1300,28,1,0,45,5,Calcasieu,2020-07-16 20:15:32.989815
24,16,41,43,,,,,8,Caldwell,2020-07-16 20:15:32.989815
10,7,35,61,,,,,5,Cameron,2020-07-16 20:15:32.989815
25,27,121,43,,,,,6,Catahoula,2020-07-16 20:15:32.989815
84,23,12,34,,,,,7,Claiborne,2020-07-16 20:15:32.989815
59,15,55,22,,,,,6,Concordia,2020-07-16 20:15:32.989815
263,39,48,85,,,,,7,De Soto,2020-07-16 20:15:32.989815
3110,865,1447,1859,158,7,0,114,2,East Baton Rouge,2020-07-16 20:15:32.989815
248,78,77,59,,,,,8,East Carroll,2020-07-16 20:15:32.989815
161,69,40,89,17,0,0,17,2,East Feliciana,2020-07-16 20:15:32.989815
82,48,105,103,,,,,4,Evangeline,2020-07-16 20:15:32.989815
180,58,208,127,,,,,8,Franklin,2020-07-16 20:15:32.989815
17,22,32,62,,,,,6,Grant,2020-07-16 20:15:32.989815
543,161,284,356,18,0,0,35,4,Iberia,2020-07-16 20:15:32.989815
463,51,85,247,30,1,0,12,2,Iberville,2020-07-16 20:15:32.989815
61,92,42,46,,,,,8,Jackson,2020-07-16 20:15:32.989815
3556,1577,1786,4324,241,17,0,237,1,Jefferson,2020-07-16 20:15:32.989815
178,52,139,256,,,,,5,Jefferson Davis,2020-07-16 20:15:32.989815
17,29,37,43,,,,,6,La Salle,2020-07-16 20:15:32.989815
1333,559,824,1263,20,0,0,35,4,Lafayette,2020-07-16 20:15:32.989815
487,217,232,709,26,0,0,65,3,Lafourche,2020-07-16 20:15:32.989815
190,112,76,73,,,,,8,Lincoln,2020-07-16 20:15:32.989815
222,197,255,901,7,0,0,34,9,Livingston,2020-07-16 20:15:32.989815
213,52,103,71,,,,,8,Madison,2020-07-16 20:15:32.989815
183,28,42,35,,,,,8,Morehouse,2020-07-16 20:15:32.989815
181,30,79,111,,,,,7,Natchitoches,2020-07-16 20:15:32.989815
5385,675,1143,1541,407,10,0,125,1,Orleans,2020-07-16 20:15:32.989815
1458,624,539,550,50,0,0,42,8,Ouachita,2020-07-16 20:15:32.989815
4,8,41,3,,,,,,Parish Under Investigation,2020-07-16 20:15:32.989815
102,20,44,151,,,,,1,Plaquemines,2020-07-16 20:15:32.989815
182,25,63,125,13,0,0,15,2,Pointe Coupee,2020-07-16 20:15:32.989815
851,172,465,534,42,1,0,38,6,Rapides,2020-07-16 20:15:32.989815
53,7,16,16,,,,,7,Red River,2020-07-16 20:15:32.989815
139,47,51,52,,,,,8,Richland,2020-07-16 20:15:32.989815
31,72,42,75,,,,,7,Sabine,2020-07-16 20:15:32.989815
277,71,70,303,,,,,1,St. Bernard,2020-07-16 20:15:32.989815
345,33,85,426,22,0,0,27,3,St. Charles,2020-07-16 20:15:32.989815
89,10,20,22,,,,,9,St. Helena,2020-07-16 20:15:32.989815
274,25,51,105,23,0,0,7,3,St. James,2020-07-16 20:15:32.989815
721,47,84,242,49,0,0,39,3,St. John the Baptist,2020-07-16 20:15:32.989815
431,110,204,384,13,0,0,47,4,St. Landry,2020-07-16 20:15:32.989815
383,235,89,363,8,0,0,21,4,St. Martin,2020-07-16 20:15:32.989815
307,71,222,208,21,1,0,17,3,St. Mary,2020-07-16 20:15:32.989815
632,213,326,2073,28,1,0,158,9,St. Tammany,2020-07-16 20:15:32.989815
722,196,153,831,19,0,0,26,9,Tangipahoa,2020-07-16 20:15:32.989815
21,2,8,3,,,,,8,Tensas,2020-07-16 20:15:32.989815
552,144,239,770,25,3,0,39,3,Terrebonne,2020-07-16 20:15:32.989815
235,62,60,119,10,0,0,18,8,Union,2020-07-16 20:15:32.989815
133,67,136,234,,,,,4,Vermilion,2020-07-16 20:15:32.989815
41,27,111,113,,,,,6,Vernon,2020-07-16 20:15:32.989815
298,117,125,314,22,0,0,29,9,Washington,2020-07-16 20:15:32.989815
231,81,71,156,,,,,7,Webster,2020-07-16 20:15:32.989815
189,33,51,122,21,0,0,11,2,West Baton Rouge,2020-07-16 20:15:32.989815
60,37,26,48,,,,,8,West Carroll,2020-07-16 20:15:32.989815
148,20,30,76,,,,,2,West Feliciana,2020-07-16 20:15:32.989815
75,66,109,41,,,,,6,Winn,2020-07-16 20:15:32.989815
404,205,365,430,9,0,0,37,4,Acadia,2020-07-17 20:11:39.516650
63,55,235,130,,,,,5,Allen,2020-07-17 20:11:39.516650
663,154,225,577,36,0,1,27,2,Ascension,2020-07-17 20:11:39.516650
285,15,32,98,,,,,3,Assumption,2020-07-17 20:11:39.516650
168,64,89,165,,,,,6,Avoyelles,2020-07-17 20:11:39.516650
44,29,166,125,,,,,5,Beauregard,2020-07-17 20:11:39.516650
124,47,36,61,14,0,0,14,7,Bienville,2020-07-17 20:11:39.516650
519,116,141,548,17,0,0,22,7,Bossier,2020-07-17 20:11:39.516650
2657,337,509,910,170,1,0,78,7,Caddo,2020-07-17 20:11:39.516650
955,265,696,1300,28,1,0,45,5,Calcasieu,2020-07-17 20:11:39.516650
24,16,41,43,,,,,8,Caldwell,2020-07-17 20:11:39.516650
10,7,35,61,,,,,5,Cameron,2020-07-17 20:11:39.516650
25,27,121,43,,,,,6,Catahoula,2020-07-17 20:11:39.516650
84,23,12,34,,,,,7,Claiborne,2020-07-17 20:11:39.516650
59,15,55,22,,,,,6,Concordia,2020-07-17 20:11:39.516650
263,39,48,85,,,,,7,De Soto,2020-07-17 20:11:39.516650
3110,865,1447,1859,158,7,0,114,2,East Baton Rouge,2020-07-17 20:11:39.516650
248,78,77,59,,,,,8,East Carroll,2020-07-17 20:11:39.516650
161,69,40,89,17,0,0,17,2,East Feliciana,2020-07-17 20:11:39.516650
82,48,105,103,,,,,4,Evangeline,2020-07-17 20:11:39.516650
180,58,208,127,,,,,8,Franklin,2020-07-17 20:11:39.516650
17,22,32,62,,,,,6,Grant,2020-07-17 20:11:39.516650
543,161,284,356,18,0,0,35,4,Iberia,2020-07-17 20:11:39.516650
463,51,85,247,30,1,0,12,2,Iberville,2020-07-17 20:11:39.516650
61,92,42,46,,,,,8,Jackson,2020-07-17 20:11:39.516650
3556,1577,1786,4324,241,17,0,237,1,Jefferson,2020-07-17 20:11:39.516650
178,52,139,256,,,,,5,Jefferson Davis,2020-07-17 20:11:39.516650
17,29,37,43,,,,,6,La Salle,2020-07-17 20:11:39.516650
1333,559,824,1263,20,0,0,35,4,Lafayette,2020-07-17 20:11:39.516650
487,217,232,709,26,0,0,65,3,Lafourche,2020-07-17 20:11:39.516650
190,112,76,73,,,,,8,Lincoln,2020-07-17 20:11:39.516650
222,197,255,901,7,0,0,34,9,Livingston,2020-07-17 20:11:39.516650
213,52,103,71,,,,,8,Madison,2020-07-17 20:11:39.516650
183,28,42,35,,,,,8,Morehouse,2020-07-17 20:11:39.516650
181,30,79,111,,,,,7,Natchitoches,2020-07-17 20:11:39.516650
5385,675,1143,1541,407,10,0,125,1,Orleans,2020-07-17 20:11:39.516650
1458,624,539,550,50,0,0,42,8,Ouachita,2020-07-17 20:11:39.516650
4,8,41,3,,,,,,Parish Under Investigation,2020-07-17 20:11:39.516650
102,20,44,151,,,,,1,Plaquemines,2020-07-17 20:11:39.516650
182,25,63,125,13,0,0,15,2,Pointe Coupee,2020-07-17 20:11:39.516650
851,172,465,534,42,1,0,38,6,Rapides,2020-07-17 20:11:39.516650
53,7,16,16,,,,,7,Red River,2020-07-17 20:11:39.516650
139,47,51,52,,,,,8,Richland,2020-07-17 20:11:39.516650
31,72,42,75,,,,,7,Sabine,2020-07-17 20:11:39.516650
277,71,70,303,,,,,1,St. Bernard,2020-07-17 20:11:39.516650
345,33,85,426,22,0,0,27,3,St. Charles,2020-07-17 20:11:39.516650
89,10,20,22,,,,,9,St. Helena,2020-07-17 20:11:39.516650
274,25,51,105,23,0,0,7,3,St. James,2020-07-17 20:11:39.516650
721,47,84,242,49,0,0,39,3,St. John the Baptist,2020-07-17 20:11:39.516650
431,110,204,384,13,0,0,47,4,St. Landry,2020-07-17 20:11:39.516650
383,235,89,363,8,0,0,21,4,St. Martin,2020-07-17 20:11:39.516650
307,71,222,208,21,1,0,17,3,St. Mary,2020-07-17 20:11:39.516650
632,213,326,2073,28,1,0,158,9,St. Tammany,2020-07-17 20:11:39.516650
722,196,153,831,19,0,0,26,9,Tangipahoa,2020-07-17 20:11:39.516650
21,2,8,3,,,,,8,Tensas,2020-07-17 20:11:39.516650
552,144,239,770,25,3,0,39,3,Terrebonne,2020-07-17 20:11:39.516650
235,62,60,119,10,0,0,18,8,Union,2020-07-17 20:11:39.516650
133,67,136,234,,,,,4,Vermilion,2020-07-17 20:11:39.516650
41,27,111,113,,,,,6,Vernon,2020-07-17 20:11:39.516650
298,117,125,314,22,0,0,29,9,Washington,2020-07-17 20:11:39.516650
231,81,71,156,,,,,7,Webster,2020-07-17 20:11:39.516650
189,33,51,122,21,0,0,11,2,West Baton Rouge,2020-07-17 20:11:39.516650
60,37,26,48,,,,,8,West Carroll,2020-07-17 20:11:39.516650
148,20,30,76,,,,,2,West Feliciana,2020-07-17 20:11:39.516650
75,66,109,41,,,,,6,Winn,2020-07-17 20:11:39.516650
404,205,365,430,9,0,0,37,4,Acadia,2020-07-18 20:21:43.063785
63,55,235,130,,,,,5,Allen,2020-07-18 20:21:43.063785
663,154,225,577,36,0,1,27,2,Ascension,2020-07-18 20:21:43.063785
285,15,32,98,,,,,3,Assumption,2020-07-18 20:21:43.063785
168,64,89,165,,,,,6,Avoyelles,2020-07-18 20:21:43.063785
44,29,166,125,,,,,5,Beauregard,2020-07-18 20:21:43.063785
124,47,36,61,14,0,0,14,7,Bienville,2020-07-18 20:21:43.063785
519,116,141,548,17,0,0,22,7,Bossier,2020-07-18 20:21:43.063785
2657,337,509,910,170,1,0,78,7,Caddo,2020-07-18 20:21:43.063785
955,265,696,1300,28,1,0,45,5,Calcasieu,2020-07-18 20:21:43.063785
24,16,41,43,,,,,8,Caldwell,2020-07-18 20:21:43.063785
10,7,35,61,,,,,5,Cameron,2020-07-18 20:21:43.063785
25,27,121,43,,,,,6,Catahoula,2020-07-18 20:21:43.063785
84,23,12,34,,,,,7,Claiborne,2020-07-18 20:21:43.063785
59,15,55,22,,,,,6,Concordia,2020-07-18 20:21:43.063785
263,39,48,85,,,,,7,De Soto,2020-07-18 20:21:43.063785
3110,865,1447,1859,158,7,0,114,2,East Baton Rouge,2020-07-18 20:21:43.063785
248,78,77,59,,,,,8,East Carroll,2020-07-18 20:21:43.063785
161,69,40,89,17,0,0,17,2,East Feliciana,2020-07-18 20:21:43.063785
82,48,105,103,,,,,4,Evangeline,2020-07-18 20:21:43.063785
180,58,208,127,,,,,8,Franklin,2020-07-18 20:21:43.063785
17,22,32,62,,,,,6,Grant,2020-07-18 20:21:43.063785
543,161,284,356,18,0,0,35,4,Iberia,2020-07-18 20:21:43.063785
463,51,85,247,30,1,0,12,2,Iberville,2020-07-18 20:21:43.063785
61,92,42,46,,,,,8,Jackson,2020-07-18 20:21:43.063785
3556,1577,1786,4324,241,17,0,237,1,Jefferson,2020-07-18 20:21:43.063785
178,52,139,256,,,,,5,Jefferson Davis,2020-07-18 20:21:43.063785
17,29,37,43,,,,,6,La Salle,2020-07-18 20:21:43.063785
1333,559,824,1263,20,0,0,35,4,Lafayette,2020-07-18 20:21:43.063785
487,217,232,709,26,0,0,65,3,Lafourche,2020-07-18 20:21:43.063785
190,112,76,73,,,,,8,Lincoln,2020-07-18 20:21:43.063785
222,197,255,901,7,0,0,34,9,Livingston,2020-07-18 20:21:43.063785
213,52,103,71,,,,,8,Madison,2020-07-18 20:21:43.063785
183,28,42,35,,,,,8,Morehouse,2020-07-18 20:21:43.063785
181,30,79,111,,,,,7,Natchitoches,2020-07-18 20:21:43.063785
5385,675,1143,1541,407,10,0,125,1,Orleans,2020-07-18 20:21:43.063785
1458,624,539,550,50,0,0,42,8,Ouachita,2020-07-18 20:21:43.063785
4,8,41,3,,,,,,Parish Under Investigation,2020-07-18 20:21:43.063785
102,20,44,151,,,,,1,Plaquemines,2020-07-18 20:21:43.063785
182,25,63,125,13,0,0,15,2,Pointe Coupee,2020-07-18 20:21:43.063785
851,172,465,534,42,1,0,38,6,Rapides,2020-07-18 20:21:43.063785
53,7,16,16,,,,,7,Red River,2020-07-18 20:21:43.063785
139,47,51,52,,,,,8,Richland,2020-07-18 20:21:43.063785
31,72,42,75,,,,,7,Sabine,2020-07-18 20:21:43.063785
277,71,70,303,,,,,1,St. Bernard,2020-07-18 20:21:43.063785
345,33,85,426,22,0,0,27,3,St. Charles,2020-07-18 20:21:43.063785
89,10,20,22,,,,,9,St. Helena,2020-07-18 20:21:43.063785
274,25,51,105,23,0,0,7,3,St. James,2020-07-18 20:21:43.063785
721,47,84,242,49,0,0,39,3,St. John the Baptist,2020-07-18 20:21:43.063785
431,110,204,384,13,0,0,47,4,St. Landry,2020-07-18 20:21:43.063785
383,235,89,363,8,0,0,21,4,St. Martin,2020-07-18 20:21:43.063785
307,71,222,208,21,1,0,17,3,St. Mary,2020-07-18 20:21:43.063785
632,213,326,2073,28,1,0,158,9,St. Tammany,2020-07-18 20:21:43.063785
722,196,153,831,19,0,0,26,9,Tangipahoa,2020-07-18 20:21:43.063785
21,2,8,3,,,,,8,Tensas,2020-07-18 20:21:43.063785
552,144,239,770,25,3,0,39,3,Terrebonne,2020-07-18 20:21:43.063785
235,62,60,119,10,0,0,18,8,Union,2020-07-18 20:21:43.063785
133,67,136,234,,,,,4,Vermilion,2020-07-18 20:21:43.063785
41,27,111,113,,,,,6,Vernon,2020-07-18 20:21:43.063785
298,117,125,314,22,0,0,29,9,Washington,2020-07-18 20:21:43.063785
231,81,71,156,,,,,7,Webster,2020-07-18 20:21:43.063785
189,33,51,122,21,0,0,11,2,West Baton Rouge,2020-07-18 20:21:43.063785
60,37,26,48,,,,,8,West Carroll,2020-07-18 20:21:43.063785
148,20,30,76,,,,,2,West Feliciana,2020-07-18 20:21:43.063785
75,66,109,41,,,,,6,Winn,2020-07-18 20:21:43.063785
404,205,365,430,9,0,0,37,4,Acadia,2020-07-19 20:09:12.390130
63,55,235,130,,,,,5,Allen,2020-07-19 20:09:12.390130
663,154,225,577,36,0,1,27,2,Ascension,2020-07-19 20:09:12.390130
285,15,32,98,,,,,3,Assumption,2020-07-19 20:09:12.390130
168,64,89,165,,,,,6,Avoyelles,2020-07-19 20:09:12.390130
44,29,166,125,,,,,5,Beauregard,2020-07-19 20:09:12.390130
124,47,36,61,14,0,0,14,7,Bienville,2020-07-19 20:09:12.390130
519,116,141,548,17,0,0,22,7,Bossier,2020-07-19 20:09:12.390130
2657,337,509,910,170,1,0,78,7,Caddo,2020-07-19 20:09:12.390130
955,265,696,1300,28,1,0,45,5,Calcasieu,2020-07-19 20:09:12.390130
24,16,41,43,,,,,8,Caldwell,2020-07-19 20:09:12.390130
10,7,35,61,,,,,5,Cameron,2020-07-19 20:09:12.390130
25,27,121,43,,,,,6,Catahoula,2020-07-19 20:09:12.390130
84,23,12,34,,,,,7,Claiborne,2020-07-19 20:09:12.390130
59,15,55,22,,,,,6,Concordia,2020-07-19 20:09:12.390130
263,39,48,85,,,,,7,De Soto,2020-07-19 20:09:12.390130
3110,865,1447,1859,158,7,0,114,2,East Baton Rouge,2020-07-19 20:09:12.390130
248,78,77,59,,,,,8,East Carroll,2020-07-19 20:09:12.390130
161,69,40,89,17,0,0,17,2,East Feliciana,2020-07-19 20:09:12.390130
82,48,105,103,,,,,4,Evangeline,2020-07-19 20:09:12.390130
180,58,208,127,,,,,8,Franklin,2020-07-19 20:09:12.390130
17,22,32,62,,,,,6,Grant,2020-07-19 20:09:12.390130
543,161,284,356,18,0,0,35,4,Iberia,2020-07-19 20:09:12.390130
463,51,85,247,30,1,0,12,2,Iberville,2020-07-19 20:09:12.390130
61,92,42,46,,,,,8,Jackson,2020-07-19 20:09:12.390130
3556,1577,1786,4324,241,17,0,237,1,Jefferson,2020-07-19 20:09:12.390130
178,52,139,256,,,,,5,Jefferson Davis,2020-07-19 20:09:12.390130
17,29,37,43,,,,,6,La Salle,2020-07-19 20:09:12.390130
1333,559,824,1263,20,0,0,35,4,Lafayette,2020-07-19 20:09:12.390130
487,217,232,709,26,0,0,65,3,Lafourche,2020-07-19 20:09:12.390130
190,112,76,73,,,,,8,Lincoln,2020-07-19 20:09:12.390130
222,197,255,901,7,0,0,34,9,Livingston,2020-07-19 20:09:12.390130
213,52,103,71,,,,,8,Madison,2020-07-19 20:09:12.390130
183,28,42,35,,,,,8,Morehouse,2020-07-19 20:09:12.390130
181,30,79,111,,,,,7,Natchitoches,2020-07-19 20:09:12.390130
5385,675,1143,1541,407,10,0,125,1,Orleans,2020-07-19 20:09:12.390130
1458,624,539,550,50,0,0,42,8,Ouachita,2020-07-19 20:09:12.390130
4,8,41,3,,,,,,Parish Under Investigation,2020-07-19 20:09:12.390130
102,20,44,151,,,,,1,Plaquemines,2020-07-19 20:09:12.390130
182,25,63,125,13,0,0,15,2,Pointe Coupee,2020-07-19 20:09:12.390130
851,172,465,534,42,1,0,38,6,Rapides,2020-07-19 20:09:12.390130
53,7,16,16,,,,,7,Red River,2020-07-19 20:09:12.390130
139,47,51,52,,,,,8,Richland,2020-07-19 20:09:12.390130
31,72,42,75,,,,,7,Sabine,2020-07-19 20:09:12.390130
277,71,70,303,,,,,1,St. Bernard,2020-07-19 20:09:12.390130
345,33,85,426,22,0,0,27,3,St. Charles,2020-07-19 20:09:12.390130
89,10,20,22,,,,,9,St. Helena,2020-07-19 20:09:12.390130
274,25,51,105,23,0,0,7,3,St. James,2020-07-19 20:09:12.390130
721,47,84,242,49,0,0,39,3,St. John the Baptist,2020-07-19 20:09:12.390130
431,110,204,384,13,0,0,47,4,St. Landry,2020-07-19 20:09:12.390130
383,235,89,363,8,0,0,21,4,St. Martin,2020-07-19 20:09:12.390130
307,71,222,208,21,1,0,17,3,St. Mary,2020-07-19 20:09:12.390130
632,213,326,2073,28,1,0,158,9,St. Tammany,2020-07-19 20:09:12.390130
722,196,153,831,19,0,0,26,9,Tangipahoa,2020-07-19 20:09:12.390130
21,2,8,3,,,,,8,Tensas,2020-07-19 20:09:12.390130
552,144,239,770,25,3,0,39,3,Terrebonne,2020-07-19 20:09:12.390130
235,62,60,119,10,0,0,18,8,Union,2020-07-19 20:09:12.390130
133,67,136,234,,,,,4,Vermilion,2020-07-19 20:09:12.390130
41,27,111,113,,,,,6,Vernon,2020-07-19 20:09:12.390130
298,117,125,314,22,0,0,29,9,Washington,2020-07-19 20:09:12.390130
231,81,71,156,,,,,7,Webster,2020-07-19 20:09:12.390130
189,33,51,122,21,0,0,11,2,West Baton Rouge,2020-07-19 20:09:12.390130
60,37,26,48,,,,,8,West Carroll,2020-07-19 20:09:12.390130
148,20,30,76,,,,,2,West Feliciana,2020-07-19 20:09:12.390130
75,66,109,41,,,,,6,Winn,2020-07-19 20:09:12.390130
404,205,365,430,9,0,0,37,4,Acadia,2020-07-20 20:12:19.147532
63,55,235,130,,,,,5,Allen,2020-07-20 20:12:19.147532
663,154,225,577,36,0,1,27,2,Ascension,2020-07-20 20:12:19.147532
285,15,32,98,,,,,3,Assumption,2020-07-20 20:12:19.147532
168,64,89,165,,,,,6,Avoyelles,2020-07-20 20:12:19.147532
44,29,166,125,,,,,5,Beauregard,2020-07-20 20:12:19.147532
124,47,36,61,14,0,0,14,7,Bienville,2020-07-20 20:12:19.147532
519,116,141,548,17,0,0,22,7,Bossier,2020-07-20 20:12:19.147532
2657,337,509,910,170,1,0,78,7,Caddo,2020-07-20 20:12:19.147532
955,265,696,1300,28,1,0,45,5,Calcasieu,2020-07-20 20:12:19.147532
24,16,41,43,,,,,8,Caldwell,2020-07-20 20:12:19.147532
10,7,35,61,,,,,5,Cameron,2020-07-20 20:12:19.147532
25,27,121,43,,,,,6,Catahoula,2020-07-20 20:12:19.147532
84,23,12,34,,,,,7,Claiborne,2020-07-20 20:12:19.147532
59,15,55,22,,,,,6,Concordia,2020-07-20 20:12:19.147532
263,39,48,85,,,,,7,De Soto,2020-07-20 20:12:19.147532
3110,865,1447,1859,158,7,0,114,2,East Baton Rouge,2020-07-20 20:12:19.147532
248,78,77,59,,,,,8,East Carroll,2020-07-20 20:12:19.147532
161,69,40,89,17,0,0,17,2,East Feliciana,2020-07-20 20:12:19.147532
82,48,105,103,,,,,4,Evangeline,2020-07-20 20:12:19.147532
180,58,208,127,,,,,8,Franklin,2020-07-20 20:12:19.147532
17,22,32,62,,,,,6,Grant,2020-07-20 20:12:19.147532
543,161,284,356,18,0,0,35,4,Iberia,2020-07-20 20:12:19.147532
463,51,85,247,30,1,0,12,2,Iberville,2020-07-20 20:12:19.147532
61,92,42,46,,,,,8,Jackson,2020-07-20 20:12:19.147532
3556,1577,1786,4324,241,17,0,237,1,Jefferson,2020-07-20 20:12:19.147532
178,52,139,256,,,,,5,Jefferson Davis,2020-07-20 20:12:19.147532
17,29,37,43,,,,,6,La Salle,2020-07-20 20:12:19.147532
1333,559,824,1263,20,0,0,35,4,Lafayette,2020-07-20 20:12:19.147532
487,217,232,709,26,0,0,65,3,Lafourche,2020-07-20 20:12:19.147532
190,112,76,73,,,,,8,Lincoln,2020-07-20 20:12:19.147532
222,197,255,901,7,0,0,34,9,Livingston,2020-07-20 20:12:19.147532
213,52,103,71,,,,,8,Madison,2020-07-20 20:12:19.147532
183,28,42,35,,,,,8,Morehouse,2020-07-20 20:12:19.147532
181,30,79,111,,,,,7,Natchitoches,2020-07-20 20:12:19.147532
5385,675,1143,1541,407,10,0,125,1,Orleans,2020-07-20 20:12:19.147532
1458,624,539,550,50,0,0,42,8,Ouachita,2020-07-20 20:12:19.147532
4,8,41,3,,,,,,Parish Under Investigation,2020-07-20 20:12:19.147532
102,20,44,151,,,,,1,Plaquemines,2020-07-20 20:12:19.147532
